Decorated function name;Undecorated function name;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
?FinishTimeline@BuildTimeline@@QEAAXXZ;void __cdecl BuildTimeline::FinishTimeline(void) __ptr64;601300;601300;601300;0;1
?_Orphan_range@?$vector@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@V?$allocator@U_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@3@@std@@AEBAXPEAU_Grp_t@?$_Tgt_state_t@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@2@0@Z;void __cdecl std::vector<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> >::_Orphan_range(struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t * __ptr64,struct std::_Tgt_state_t<class std::_String_const_it;601100;601100;601100;0;1
??$try_emplace@AEAVTimelineEntry@@@?$unordered_map@_KVTimelineEntry@@U?$hash@_K@std@@U?$equal_to@_K@3@V?$allocator@U?$pair@$$CB_KVTimelineEntry@@@std@@@3@@std@@QEAA?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KVTimelineEntry@@@std@@@std@@@std@@@std@@_N@1@AEB_KAEAVTimelineEntry@@@Z;struct std::pair<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > >,bool> __cdecl std::unordered_map<unsigned __int64,class TimelineEntry,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,class TimelineEntry> > >::try_emplace<class TimelineEntry & __ptr64>(unsigned __int64 const & __ptr64,class TimelineEntry & __ptr64) __ptr64;601000;601000;601000;0;1
?_Add_char@?$_Builder@PEBDDV?$regex_traits@D@std@@@std@@QEAAXD@Z;void __cdecl std::_Builder<char const * __ptr64,char,class std::regex_traits<char> >::_Add_char(char) __ptr64;600200;600200;600200;0;1
?_Orphan_non_end@?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUTemplateInstantiationData@@@std@@@std@@@std@@QEAAXXZ;void __cdecl std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct TemplateInstantiationData> > >::_Orphan_non_end(void) __ptr64;600100;600100;600100;0;1
??0?$basic_ofstream@DU?$char_traits@D@std@@@std@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@1@HH@Z;__cdecl std::basic_ofstream<char,struct std::char_traits<char> >::basic_ofstream<char,struct std::char_traits<char> >(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64,int,int) __ptr64;599750;523200;766200;83931;6
??A?$vector@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@V?$allocator@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@2@@std@@QEAAAEAV?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@1@_K@Z;class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > & __ptr64 __cdecl std::vector<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > >::operator[](unsigned __int64) __ptr64;599300;599300;599300;0;1
?clear@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@2@$0A@@std@@@std@@QEAAXXZ;void __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct `anonymous namespace'::DataPerTemplate,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> ;599000;599000;599000;0;1
??$_Debug_lt_pred@AEAV<lambda_9480883bff83c29d8fc89bed48609766>@@AEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@std@@AEAPEBU23@$0A@@std@@YA_NAEAV<lambda_9480883bff83c29d8fc89bed48609766>@@AEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UFileCompilationData@@@0@1@Z;bool __cdecl std::_Debug_lt_pred<class <lambda_9480883bff83c29d8fc89bed48609766> & __ptr64,struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64 & __ptr64,struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData> const * __ptr64 & __ptr64,0>(class <lambda_9480883bff83c29d8fc89bed48609766> & __ptr64,struct std::pair<class std;598900;598900;598900;0;1
??$exchange@PEAU?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@$$T@std@@YAPEAU?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@0@AEAPEAU10@$$QEA$$T@Z;??$exchange@PEAU?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@$$T@std@@YAPEAU?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@0@AEAPEAU10@$$QEA$$T@Z;598600;598600;598600;0;1
??1?$vector@DV?$allocator@D@std@@@std@@QEAA@XZ;__cdecl std::vector<char,class std::allocator<char> >::~vector<char,class std::allocator<char> >(void) __ptr64;598400;598400;598400;0;1
?_Compat@?$_Vector_const_iterator@V?$_Vector_val@U?$_Simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@QEBAXAEBV12@@Z;void __cdecl std::_Vector_const_iterator<class std::_Vector_val<struct std::_Simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > >::_Compat(class std::_Vector_const_iterator<class std::_Vector_val<struct std::_Simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > const & __ptr64)const __ptr64;597200;597200;597200;0;1
??8?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@@std@@@std@@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > > >::operator==(class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > > > const & __ptr64)const __ptr64;596900;596900;596900;0;1
??$?0V?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@V01@$0A@$$Z$0A@@?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@QEAA@AEAV?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@1@0U?$integer_sequence@_K$0A@@1@1@Z;??$?0V?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@V01@$0A@$$Z$0A@@?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@QEAA@AEAV?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@1@0U?$integer_sequence@_K$0A@@1@1@Z;596600;596600;596600;0;1
??_G?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QEAAPEAXI@Z;void * __ptr64 __cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::`scalar deleting destructor'(unsigned int) __ptr64;596450;340700;852200;255750;2
??A?$vector@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@V?$allocator@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@2@@std@@QEBAAEBV?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@1@_K@Z;class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > const & __ptr64 __cdecl std::vector<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > >::operator[](unsigned __int64)const __ptr64;596200;596200;596200;0;1
??$?0AEBV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@PEAX@std@@@std@@$0A@@?$_Hash_vec@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@@std@@@std@@@std@@@std@@@std@@QEAA@AEBV?$allocator@U?$_List_node@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V12@@std@@PEAX@std@@@1@@Z;__cdecl std::_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > >::_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,;595600;595600;595600;0;1
?_Tidy@?$vector@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@V?$allocator@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@@std@@@std@@AEAAXXZ;void __cdecl std::vector<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer>,class std::allocator<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > >::_Tidy(void) __ptr64;594800;594800;594800;0;1
??$construct@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@AEBUpiecewise_construct_t@2@V?$tuple@AEB_K@2@V?$tuple@AEAULocalThreadData@PackedProcessThreadRemapper@@@2@@?$_Default_allocator_traits@V?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@std@@@std@@SAXAEAV?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@1@QEAU?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@1@AEBUpiecewise_construct_t@1@$$QEAV?$tuple@AEB_K@1@$$QEAV?$tuple@AEAULocalThreadData@PackedProcessThreadRemapper@@@1@@Z;??$construct@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@AEBUpiecewise_construct_t@2@V?$tuple@AEB_K@2@V?$tuple@AEAULocalThreadData@PackedProcessThreadRemapper@@@2@@?$_Default_allocator_traits@V?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@std@@@std@@SAXAEAV?$allocator@U?$_List_node@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@PEAX@std@@@1@QEAU?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@1@AEB;594400;594400;594400;0;1
??$try_emplace@AEAULocalThreadData@PackedProcessThreadRemapper@@@?$unordered_map@_KULocalThreadData@PackedProcessThreadRemapper@@U?$hash@_K@std@@U?$equal_to@_K@4@V?$allocator@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@@4@@std@@QEAA?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KULocalThreadData@PackedProcessThreadRemapper@@@std@@@std@@@std@@@std@@_N@1@AEB_KAEAULocalThreadData@PackedProcessThreadRemapper@@@Z;struct std::pair<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > > >,bool> __cdecl std::unordered_map<unsigned __int64,struct PackedProcessThreadRemapper::LocalThreadData,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64>,class std::allocator<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData> > >::try_emplace<struct;594400;594400;594400;0;1
??8?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > >::operator==(class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > const & __ptr64)const __ptr64;594266;551900;621000;30298;3
?allocate@?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@@std@@QEAAPEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@2@_K@Z;class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std:;594100;594100;594100;0;1
?_Orphan_range@?$vector@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@V?$allocator@PEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@@2@@std@@AEBAXPEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@2@0@Z;void __cdecl std::vector<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64> >::_Orphan_range(struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator;593200;593200;593200;0;1
??$_Make_heap_unchecked@PEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@std@@V<lambda_5b04ced4049247d028dd2b0acc74b1e0>@@@std@@YAXPEAPEBU?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@UDataPerTemplate@?A0x5cdd232a@@@0@0V<lambda_5b04ced4049247d028dd2b0acc74b1e0>@@@Z;void __cdecl std::_Make_heap_unchecked<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64 * __ptr64,class <lambda_5b04ced4049247d028dd2b0acc74b1e0> >(struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct `anonymous namespace'::DataPerTemplate> const * __ptr64 * __ptr64,struct std::pair<class std::basic_string<char,struc;593200;593200;593200;0;1
?clear@?$_Hash@V?$_Umap_traits@_KVTimelineEntry@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@std@@V?$allocator@U?$pair@$$CB_KVTimelineEntry@@@std@@@3@$0A@@std@@@std@@QEAAXXZ;void __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class TimelineEntry,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,class TimelineEntry> >,0> >::clear(void) __ptr64;592000;592000;592000;0;1
?_Null@?$match_results@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@V?$allocator@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@2@@std@@QEAAAEAV?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@2@XZ;class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > & __ptr64 __cdecl std::match_results<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > >::_Null(void) __ptr64;591600;591600;591600;0;1
??$equal@PEBDPEBDU?$_Cmp_icase@V?$_Regex_traits@D@std@@@std@@@std@@YA_NQEBD000U?$_Cmp_icase@V?$_Regex_traits@D@std@@@0@@Z;bool __cdecl std::equal<char const * __ptr64,char const * __ptr64,struct std::_Cmp_icase<class std::_Regex_traits<char> > >(char const * __ptr64 const,char const * __ptr64 const,char const * __ptr64 const,char const * __ptr64 const,struct std::_Cmp_icase<class std::_Regex_traits<char> >);591500;591500;591500;0;1
?_Tidy@?$vector@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@V?$allocator@V?$sub_match@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@@2@@std@@AEAAXXZ;void __cdecl std::vector<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >,class std::allocator<class std::sub_match<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > > > >::_Tidy(void) __ptr64;591100;591100;591100;0;1
?_Orphan_range@?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@AEBAXPEAV?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@2@0@Z;void __cdecl std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >::_Orphan_range(class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > * __ptr64,class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > * __ptr64)const __ptr64;591066;568500;631300;28519;3
??A?$vector@U?$pair@PEBVTimelineEntry@@PEAULocalThreadData@PackedProcessThreadRemapper@@@std@@V?$allocator@U?$pair@PEBVTimelineEntry@@PEAULocalThreadData@PackedProcessThreadRemapper@@@std@@@2@@std@@QEAAAEAU?$pair@PEBVTimelineEntry@@PEAULocalThreadData@PackedProcessThreadRemapper@@@1@_K@Z;struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64> & __ptr64 __cdecl std::vector<struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64>,class std::allocator<struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64> > >::operator[](unsigned __int64) __ptr64;590900;590900;590900;0;1
?assign@?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@QEAAAEAV12@_KD@Z;class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > & __ptr64 __cdecl std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >::assign(unsigned __int64,char) __ptr64;590400;590400;590400;0;1
??8?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUProcessThreadRemap@@@std@@@std@@@std@@@std@@QEBA_NAEBV01@@Z;bool __cdecl std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > >::operator==(class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > > const & __ptr64)const __ptr64;590250;567300;613200;22950;2
?_Orphan_range@?$vector@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$allocator@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@@std@@@std@@AEBAXPEAPEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@0@Z;void __cdecl std::vector<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64> >::_Orphan_range(class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64 * __ptr64,class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64 * __ptr64)const __ptr64;590100;590100;590100;0;1
?_Orphan_non_end@?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@@std@@@std@@QEAAXXZ;void __cdecl std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > > >::_Orphan_non_end(void) __ptr64;590000;580000;600000;10000;2
?_Desired_grow_bucket_count@?$_Hash@V?$_Umap_traits@_KUProcessThreadRemap@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@std@@V?$allocator@U?$pair@$$CB_KUProcessThreadRemap@@@std@@@3@$0A@@std@@@std@@IEBA_K_K@Z;unsigned __int64 __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,struct ProcessThreadRemap,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> >,0> >::_Desired_grow_bucket_count(unsigned __int64)const __ptr64;589400;589400;589400;0;1
??$_Make_heap_unchecked@PEAU?$pair@PEBVTimelineEntry@@PEAULocalThreadData@PackedProcessThreadRemapper@@@std@@V<lambda_b91a942b4070954e66476ae297366993>@@@std@@YAXPEAU?$pair@PEBVTimelineEntry@@PEAULocalThreadData@PackedProcessThreadRemapper@@@0@0V<lambda_b91a942b4070954e66476ae297366993>@@@Z;void __cdecl std::_Make_heap_unchecked<struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64> * __ptr64,class <lambda_b91a942b4070954e66476ae297366993> >(struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64> * __ptr64,struct std::pair<class TimelineEntry const * __ptr64,struct PackedProcessThreadRemapper::LocalThreadData * __ptr64> * __ptr64,class <lambda_b91a942b4070954e66476ae297366;589100;589100;589100;0;1
??$try_emplace@PEBD@?$unordered_map@_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@2@@std@@QEAA?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@std@@_N@1@AEB_K$$QEAPEBD@Z;??$try_emplace@PEBD@?$unordered_map@_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@_K@2@U?$equal_to@_K@2@V?$allocator@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@2@@std@@QEAA?AU?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@@std@@@std@@_N@1@AEB_K$$QEAPEBD@Z;587950;579100;596800;8850;2
?_Orphan_non_end@?$_List_val@U?$_List_simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@QEAAXXZ;void __cdecl std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::_Orphan_non_end(void) __ptr64;586500;586500;586500;0;1
?_Change_array@?$vector@IV?$allocator@I@std@@@std@@AEAAXQEAI_K1@Z;void __cdecl std::vector<unsigned int,class std::allocator<unsigned int> >::_Change_array(unsigned int * __ptr64 const,unsigned __int64,unsigned __int64) __ptr64;586500;586500;586500;0;1
