Specialization template;Primary template;Average elapsed time (nanoseconds);Minimum elapsed time (nanoseconds);Maximum elapsed time (nanoseconds);Standard deviation (nanoseconds);Occurrences
class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > > > > > ;class std::_Vector_val ;225600;225600;225600;0;1
struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,0,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile> ;struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class FileInclusionsAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl ;225200;225200;225200;0;1
struct std::_Is_implicitly_default_constructible<char const *,void> ;struct std::_Is_implicitly_default_constructible ;225000;225000;225000;0;1
struct std::pointer_traits<unsigned long *> ;struct std::pointer_traits ;224600;224600;224600;0;1
struct std::tuple_size<class std::tuple<class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > &&> > ;struct std::tuple_size ;223800;205200;242400;18600;2
struct std::_Tuple_constructible_val<class std::tuple<struct ProcessThreadRemap &>,struct std::_Exact_args_t,struct ProcessThreadRemap &> ;struct std::_Tuple_constructible_val ;223600;223600;223600;0;1
class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::shared_ptr<class cxxopts::OptionDetails> const ,class cxxopts::OptionValue> > > > > > ;class std::_Vector_val ;223300;223300;223300;0;1
class Microsoft::Cpp::BuildInsights::Internal::MatchEventFixedHandler<struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::Activities::Activity const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::Activities::Activity>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MatchEventAndContinue<class Microsoft::Cpp::BuildInsights::Activities::Activity> > ;class Microsoft::Cpp::BuildInsights::Internal::MatchEventFixedHandler ;223100;223100;223100;0;1
struct std::is_nothrow_constructible<class std::_Vector_val<struct std::_Simple_types<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> >,struct std::_Iterator_base0> > > > ;struct std::is_nothrow_constructible ;223000;223000;223000;0;1
struct std::is_constructible<struct `anonymous namespace'::DataPerTemplate &&,struct A0x5cdd232a::DataPerTemplate &> ;struct std::is_constructible ;222900;222900;222900;0;1
struct std::_Ptr_cat_helper<char,char> ;struct std::_Ptr_cat_helper ;222300;222300;222300;0;1
struct std::_Alloc_construct_ptr<class std::allocator<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap>,void *> > > ;struct std::_Alloc_construct_ptr ;221800;221800;221800;0;1
struct rapidjson::internal::EnableIf<struct rapidjson::internal::IsSame<bool,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void> ;struct rapidjson::internal::EnableIf ;221400;221400;221400;0;1
struct std::_Gcd<1000000,1000000> ;struct std::_Gcd ;221350;194600;284300;36517;4
struct std::tuple_size<class std::tuple<struct PackedProcessThreadRemapper::LocalThreadData &> > ;struct std::tuple_size ;221200;221200;221200;0;1
class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *__cdecl std::_Get_unwrapped<class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger>*const &>(class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IRelogger> *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);221033;200100;259100;26961;3
struct std::_Tuple_constructible_val<class std::tuple<struct PackedProcessThreadRemapper::LocalThreadData &>,struct std::_Exact_args_t,struct PackedProcessThreadRemapper::LocalThreadData &> ;struct std::_Tuple_constructible_val ;220800;220800;220800;0;1
struct std::is_constructible<class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &&,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > ;struct std::is_constructible ;220800;220800;220800;0;1
struct std::tuple_element<0,class std::tuple<struct TemplateInstantiationData &> > ;struct std::tuple_element ;220100;220100;220100;0;1
__int64 __cdecl std::_Idl_distance<char*,char*>(char *const &,char *const &);auto __cdecl std::_Idl_distance(const _Iter &,const _Iter &);219900;212700;227100;7200;2
struct std::is_nothrow_constructible<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > > > >,class std::allocator<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > const &> ;struct std::is_nothrow_constructible ;219800;219800;219800;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndPass,class Microsoft::Cpp::BuildInsights::Activities::BackEndPass,class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;219700;219700;219700;0;1
struct std::tuple_element<0,class std::tuple<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> > > ;struct std::tuple_element ;219300;219300;219300;0;1
struct std::_Iterator_traits_pointer_base<struct `anonymous namespace'::DataPerFunction,1> ;struct std::_Iterator_traits_pointer_base ;218900;218900;218900;0;1
struct std::is_constructible<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> *,struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,void *> *> ;struct std::is_constructible ;218500;215400;221600;3100;2
struct std::aligned_union<1,class std::_System_error_category> ;struct std::aligned_union ;218433;201200;233700;13340;3
struct rapidjson::internal::EnableIf<struct rapidjson::internal::IsSame<bool,char const *>,void> ;struct rapidjson::internal::EnableIf ;218400;218400;218400;0;1
struct std::is_constructible<struct std::_List_node<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData>,void *> *,struct std::_List_node<struct std::pair<unsigned __int64 const ,struct PackedProcessThreadRemapper::LocalThreadData>,void *> *> ;struct std::is_constructible ;217800;217800;217800;0;1
struct std::_Gcd<1000000000,1000000000> ;struct std::_Gcd ;217550;200200;244200;17883;4
struct std::is_constructible<struct FileCompilationData &&,struct FileCompilationData> ;struct std::is_constructible ;217300;217300;217300;0;1
struct std::is_nothrow_constructible<class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t>,class std::allocator<struct std::_Tgt_state_t<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >::_Grp_t> > ;struct std::is_nothrow_constructible ;217300;217300;217300;0;1
struct std::_Swap_cannot_throw<struct PackedProcessThreadRemapper::LocalThreadData * &,struct PackedProcessThreadRemapper::LocalThreadData * &> ;struct std::_Swap_cannot_throw ;217200;217200;217200;0;1
struct std::is_constructible<struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> *,struct std::_List_node<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,struct FileCompilationData>,void *> * &> ;struct std::is_constructible ;216900;216900;216900;0;1
struct std::is_nothrow_constructible<class std::allocator<class TimelineEntry *>,class std::allocator<class TimelineEntry *> > ;struct std::is_nothrow_constructible ;216600;216600;216600;0;1
struct std::is_nothrow_constructible<class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > ;struct std::is_nothrow_constructible ;215666;141800;289100;60135;3
struct std::is_constructible<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > >,class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class TimelineEntry> > > > > ;struct std::is_constructible ;215600;215600;215600;0;1
struct std::tuple_size<class std::tuple<class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > &&> > ;struct std::tuple_size ;215600;215600;215600;0;1
class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > *__cdecl std::_Get_unwrapped<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> >*const &>(class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IRelogger,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IRelogger> > *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);215533;194400;246500;22377;3
struct std::_Tuple_perfect_val<class std::tuple<class Microsoft::Cpp::BuildInsights::Internal::AnalyzerSmartPtrImpl<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper> >,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer *,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > > > ;struct std::_Tuple_perfect_val ;215500;215500;215500;0;1
struct std::is_nothrow_constructible<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > > > >,class std::allocator<struct std::pair<unsigned __int64 const ,struct ProcessThreadRemap> > const &> ;struct std::is_nothrow_constructible ;215300;215300;215300;0;1
struct std::_Decayed_cond_oper<int,int,void> ;struct std::_Decayed_cond_oper ;215150;196400;248100;20499;4
struct std::_Swap_cannot_throw<class TimelineEntry const * &,class TimelineEntry const * &> ;struct std::_Swap_cannot_throw ;214700;214700;214700;0;1
struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > *__cdecl std::_Get_unwrapped<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >*const &>(struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);214700;214700;214700;0;1
struct std::is_constructible<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &&,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > &> ;struct std::is_constructible ;214666;189100;252000;26993;3
struct std::_Is_character_or_byte<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > > > ;struct std::_Is_character_or_byte ;214600;214600;214600;0;1
struct std::is_constructible<class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > &&,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > &> ;struct std::is_constructible ;214550;190000;239100;24550;2
class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > *__cdecl std::_Get_unwrapped<class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> >*const &>(class std::unique_ptr<class Microsoft::Cpp::BuildInsights::IAnalyzer,struct std::default_delete<class Microsoft::Cpp::BuildInsights::IAnalyzer> > *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);214500;200700;235600;15154;3
class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation const &> > ;class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler ;214400;214400;214400;0;1
struct std::_In_place_key_extract_set<unsigned __int64,unsigned __int64> ;struct std::_In_place_key_extract_set ;214000;214000;214000;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;213600;213600;213600;0;1
struct std::is_constructible<class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > &&,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > &> ;struct std::is_constructible ;213300;213300;213300;0;1
struct std::_Can_call_function_object<class cxxopts::values::standard_value<bool> * &,std::nullptr_t &,void> ;struct std::_Can_call_function_object ;213300;213300;213300;0;1
struct std::_Safe_mult<1,1000000,1,1> ;struct std::_Safe_mult ;212600;212600;212600;0;1
struct std::_Iterator_traits_pointer_base<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > > > >,1> ;struct std::_Iterator_traits_pointer_base ;212600;187900;237300;24700;2
struct std::ratio<1,1> ;struct std::ratio ;211975;206600;217500;4037;4
struct std::_Identity<class std::experimental::filesystem::v1::path> ;struct std::_Identity ;211933;89300;320800;83990;6
class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> *__cdecl std::_Get_unwrapped<class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger>*const &>(class std::shared_ptr<class Microsoft::Cpp::BuildInsights::IRelogger> *const &);decltype(auto) __cdecl std::_Get_unwrapped(_Iter &&);211933;204300;221000;6892;3
struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::SimpleEvents::CommandLine const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::SimpleEvents::CommandLine>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl<class Microsoft::Cpp::BuildInsights::SimpleEvents::CommandLine,0,class Microsoft::Cpp::BuildInsights::Activities::Activity> ;struct Microsoft::Cpp::BuildInsights::Internal::MatchEventStackImpl<class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity const &,class Microsoft::Cpp::BuildInsights::SimpleEvents::CommandLine const &> >,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Activity,class Microsoft::Cpp::BuildInsights::SimpleEvents::CommandLine>,struct Microsoft::Cpp::BuildInsights::Internal::Group<> >::MaterializeFunctorImpl ;211500;211500;211500;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;211400;211400;211400;0;1
struct std::tuple_size<class std::tuple<struct FileCompilationData &&> > ;struct std::tuple_size ;211200;211200;211200;0;1
struct std::_Gcd<3600,3600> ;struct std::_Gcd ;211075;190000;226300;13205;4
struct std::is_copy_constructible<class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<unsigned __int64> > > > ;struct std::is_copy_constructible ;210500;210500;210500;0;1
struct std::is_constructible<class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &&,class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &> ;struct std::is_constructible ;210300;210300;210300;0;1
struct std::is_nothrow_constructible<struct FileCompilationData &&,struct FileCompilationData> ;struct std::is_nothrow_constructible ;210200;210200;210200;0;1
class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler<class BuildTimelineAnalyzer,void,struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::SimpleEvents::SymbolName const &> > ;class Microsoft::Cpp::BuildInsights::Internal::MaterializeMemberFuncHandler ;210200;210200;210200;0;1
struct std::is_nothrow_constructible<class std::_Vector_val<struct std::_Simple_types<struct std::pair<class TimelineEntry const *,struct PackedProcessThreadRemapper::LocalThreadData *> > > > ;struct std::is_nothrow_constructible ;209800;209800;209800;0;1
struct std::is_constructible<struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,void *> *,struct std::_List_node<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,void *> *> ;struct std::is_constructible ;209700;209700;209700;0;1
struct rapidjson::internal::IsGenericValue<__int64> ;struct rapidjson::internal::IsGenericValue ;209700;209700;209700;0;1
struct std::_Sign_base<unsigned char,1> ;struct std::_Sign_base ;209700;209700;209700;0;1
struct std::is_constructible<class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > >,class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > > > > ;struct std::is_constructible ;209600;136400;282800;73200;2
struct std::tuple_size<class std::tuple<class std::unordered_set<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,struct std::equal_to<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > > &&> > ;struct std::tuple_size ;209400;209400;209400;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;209200;209200;209200;0;1
struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl<struct Microsoft::Cpp::BuildInsights::Internal::Group<class Microsoft::Cpp::BuildInsights::Activities::FrontEndFile,class Microsoft::Cpp::BuildInsights::Activities::TemplateInstantiation,class Microsoft::Cpp::BuildInsights::Activities::Function,class Microsoft::Cpp::BuildInsights::Activities::Pass1,class Microsoft::Cpp::BuildInsights::Activities::Pass2,class Microsoft::Cpp::BuildInsights::Activities::PreLTCGOptRef,class Microsoft::Cpp::BuildInsights::Activities::LTCG,class Microsoft::Cpp::BuildInsights::Activities::OptRef,class Microsoft::Cpp::BuildInsights::Activities::OptLBR,class Microsoft::Cpp::BuildInsights::Activities::OptICF,class Microsoft::Cpp::BuildInsights::Activities::C1DLL,class Microsoft::Cpp::BuildInsights::Activities::C2DLL,class Microsoft::Cpp::BuildInsights::Activities::WholeProgramAnalysis,class Microsoft::Cpp::BuildInsights::Activities::CodeGeneration,class Microsoft::Cpp::BuildInsights::Activities::BottomUp,class Microsoft::Cpp::BuildInsights::Activities::TopDown,class Microsoft::Cpp::BuildInsights::Activities::Thread> > ;struct Microsoft::Cpp::BuildInsights::Internal::EntityCanMaterializeIdImpl ;209100;209100;209100;0;1
