Decorated function name;Undecorated function name;Total elapsed time (nanoseconds);Average elapsed time (nanoseconds);Occurrences
??$value@_N@cxxopts@@YA?AV?$shared_ptr@VValue@cxxopts@@@std@@AEA_N@Z;class std::shared_ptr<class cxxopts::Value> __cdecl cxxopts::value<bool>(bool & __ptr64);461846;461846;1
??$?0AEB_K$$Z$$QEAU?$pair@KH@std@@@?$pair@$$CB_KU?$pair@KK@std@@@std@@QEAA@Upiecewise_construct_t@1@V?$tuple@AEB_K@1@V?$tuple@$$QEAU?$pair@KH@std@@@1@@Z;??$?0AEB_K$$Z$$QEAU?$pair@KH@std@@@?$pair@$$CB_KU?$pair@KK@std@@@std@@QEAA@Upiecewise_construct_t@1@V?$tuple@AEB_K@1@V?$tuple@$$QEAU?$pair@KH@std@@@1@@Z;461436;461436;1
??0OptionException@cxxopts@@QEAA@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@Z;__cdecl cxxopts::OptionException::OptionException(class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const & __ptr64) __ptr64;461025;461025;1
??$RunFindId@VFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventImpl@V?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@CA_NAEBVRawEvent@234@$$QEAV?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@1234@@Z;??$RunFindId@VFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@$$V@?$MatchEventImpl@V?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@CA_NAEBVRawEvent@234@$$QEAV?$MaterializeMemberFuncHandler@VFileCompilationsAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsigh;460614;460614;1
??$?0V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@AEB_N$0A@@?$pair@V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@_N@std@@QEAA@$$QEAV?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@1@AEB_N@Z;??$?0V?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$unordered_set@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@@std@@@std@@@std@@@std@@AEB_N$0A@@?$pair@V?$_List_iterator@V?$_List_;460614;460614;1
?GetFinishTimestamp@TimelineEntry@@QEBAAEBV?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@XZ;class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > const & __ptr64 __cdecl TimelineEntry::GetFinishTimestamp(void)const __ptr64;920818;460409;2
??$_Verify_range@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@@std@@@std@@@std@@YAXQEBV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@@std@@@0@0@Z;void __cdecl std::_Verify_range<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessIdThreadIdRecalculation::EntryWithLocalThreadIdOffsetMaxChildOffset> > > > >(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct ProcessIdThreadIdRecalculation::EntryWithLocalThreadIdOffsetMaxChildOffset> > > > const * __ptr64 const,class std::_List_u;460204;460204;1
??1?$vector@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$allocator@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@std@@QEAA@XZ;__cdecl std::vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >::~vector<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::allocator<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >(void) __ptr64;459793;459793;1
??$emplace_back@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@?$vector@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@V?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@QEAA@$$QEAPEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@Z;??$emplace_back@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@?$vector@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@V?$allocator@PEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@std@@@std@@QEAA@$$QEAPEBUEntryWithLocalThreadIdOffsetMaxChildOffset@ProcessIdThreadIdRecalculation@@@Z;459383;459383;1
??$MatchEventInMemberFunction@VFileCompilationsAnalyzer@@XAEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@$$V$$Z$$V@BuildInsights@Cpp@Microsoft@@YA_NAEBVRawEvent@012@PEAVFileCompilationsAnalyzer@@P84@EAAXAEBVFrontEndPass@Activities@012@@Z@Z;??$MatchEventInMemberFunction@VFileCompilationsAnalyzer@@XAEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@$$V$$Z$$V@BuildInsights@Cpp@Microsoft@@YA_NAEBVRawEvent@012@PEAVFileCompilationsAnalyzer@@P84@EAAXAEBVFrontEndPass@Activities@012@@Z@Z;458972;458972;1
?end@?$list@U?$pair@$$CB_KU?$pair@KK@std@@@std@@V?$allocator@U?$pair@$$CB_KU?$pair@KK@std@@@std@@@2@@std@@QEBA?AV?$_List_const_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KU?$pair@KK@std@@@std@@@std@@@std@@@2@XZ;class std::_List_const_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > > > __cdecl std::list<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> >,class std::allocator<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > >::end(void)const __ptr64;458972;458972;1
?end@?$_Hash@V?$_Umap_traits@_KV?$vector@_KV?$allocator@_K@std@@@std@@V?$_Uhash_compare@_KU?$hash@_K@std@@U?$equal_to@_K@2@@2@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@$0A@@std@@@std@@QEAA?AV?$_List_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@2@XZ;class std::_List_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > __cdecl std::_Hash<class std::_Umap_traits<unsigned __int64,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> >,class std::_Uhash_compare<unsigned __int64,struct std::hash<unsigned __int64>,struct std::equal_to<unsigned __int64> >,class std::allocator<struct std::pair<unsigned __in;457741;457741;1
??$_Prev_iter@V?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@std@@@std@@YA?AV?$_String_const_iterator@V?$_String_val@U?$_Simple_types@D@std@@@std@@@0@V10@@Z;class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > __cdecl std::_Prev_iter<class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > > >(class std::_String_const_iterator<class std::_String_val<struct std::_Simple_types<char> > >);457741;457741;1
??0?$vector@U_Loop_vals_t@std@@V?$allocator@U_Loop_vals_t@std@@@2@@std@@QEAA@XZ;__cdecl std::vector<struct std::_Loop_vals_t,class std::allocator<struct std::_Loop_vals_t> >::vector<struct std::_Loop_vals_t,class std::allocator<struct std::_Loop_vals_t> >(void) __ptr64;457330;457330;1
??$MatchEvent@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@$$VU?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@VFrontEndPass@2345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@AEBVTemplateInstantiation@2345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@VTemplateInstantiation@2345@@2345@U?$Group@$$V@2345@@Internal@345@AEA_NAEBVEventStack@345@AEA_KV?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@AEBVTemplateInstantiation@2345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@8345@@BuildInsights@Cpp@Microsoft@@YA_NAEBVRawEvent@012@PEAU?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@VFrontEndPass@2345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@AEBVTemplateInstantiation@2345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@VTemplateInstantiation@2345@@2345@U?$Group@$$V@2345@@Internal@012@AEA_NAEBVEventStack@012@AEA_K$$QEAV?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@AEBVTemplateInstantiation@2345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@6012@@Z;??$MatchEvent@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@$$VU?$MatchEventAndContinue@VTemplateInstantiation@Activities@BuildInsights@Cpp@Microsoft@@VFrontEndPass@2345@@?$MatchEventStackImpl@V?$MaterializeMemberFuncHandler@VBuildTimelineAnalyzer@@XU?$Group@AEBVFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@AEBVTemplateInstantiation@2345@@Internal@BuildInsights@Cpp@Microsoft@@$$V@Internal@BuildInsights@Cpp@Microsoft@@U?$Group@VFrontEndPass@Activities@BuildInsights@Cpp@Microsoft@@VT;456920;456920;1
??$_Construct_in_place@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KU?$pair@KK@std@@@std@@@std@@@std@@@std@@AEBV12@@std@@YAXAEAV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KU?$pair@KK@std@@@std@@@std@@@std@@@0@AEBV10@@Z;void __cdecl std::_Construct_in_place<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > > >,class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,struct std::pair<unsigned long,unsigned long> > > > > const & __ptr64>(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<s;456920;456920;1
??$HandleAnalysisEvent@$$VVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@$$V@DynamicEventHandlingSupport@Internal@BuildInsights@Cpp@Microsoft@@SA?AW4AnalysisControl@234@AEAV?$vector@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@V?$allocator@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@@std@@@std@@P8IAnalyzer@234@EAA?AW45234@XZ@Z;??$HandleAnalysisEvent@$$VVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@$$V@DynamicEventHandlingSupport@Internal@BuildInsights@Cpp@Microsoft@@SA?AW4AnalysisControl@234@AEAV?$vector@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@V?$allocator@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@BuildInsights@Cpp@Microsoft@@@std@@@std@@P8IAnalyzer@234@EAA?AW45234@XZ@Z;456920;456920;1
?MakeDynamicAnalyzerGroup@BuildInsights@Cpp@Microsoft@@YA?AV?$DynamicSmartPtrAnalyzerGroupImpl@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$RawPtrWrapper@VIAnalyzer@BuildInsights@Cpp@Microsoft@@@Internal@234@@Internal@123@V?$vector@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@V?$allocator@PEAVIAnalyzer@BuildInsights@Cpp@Microsoft@@@std@@@std@@@Z;class Microsoft::Cpp::BuildInsights::Internal::DynamicSmartPtrAnalyzerGroupImpl<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class Microsoft::Cpp::BuildInsights::Internal::RawPtrWrapper<class Microsoft::Cpp::BuildInsights::IAnalyzer> > __cdecl Microsoft::Cpp::BuildInsights::MakeDynamicAnalyzerGroup(class std::vector<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64,class std::allocator<class Microsoft::Cpp::BuildInsights::IAnalyzer * __ptr64> >);456920;456920;1
?clear@?$list@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@V?$allocator@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@2@@std@@QEAAXXZ;void __cdecl std::list<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > >,class std::allocator<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > >::clear(void) __ptr64;456920;456920;1
??0?$vector@VKeyValue@cxxopts@@V?$allocator@VKeyValue@cxxopts@@@std@@@std@@QEAA@XZ;__cdecl std::vector<class cxxopts::KeyValue,class std::allocator<class cxxopts::KeyValue> >::vector<class cxxopts::KeyValue,class std::allocator<class cxxopts::KeyValue> >(void) __ptr64;456509;456509;1
??$_Traits_compare@U?$char_traits@D@std@@@std@@YAHQEBD_K01@Z;int __cdecl std::_Traits_compare<struct std::char_traits<char> >(char const * __ptr64 const,unsigned __int64,char const * __ptr64 const,unsigned __int64);456509;456509;1
??$_Verify_range@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$shared_ptr@VOptionDetails@cxxopts@@@2@@std@@@std@@@std@@@std@@@std@@YAXQEBV?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$shared_ptr@VOptionDetails@cxxopts@@@2@@std@@@std@@@std@@@0@0@Z;void __cdecl std::_Verify_range<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::shared_ptr<class cxxopts::OptionDetails> > > > > >(class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::share;456099;456099;1
?OnActivityStartRoot@BuildTimelineAnalyzer@@AEAAXAEBVActivity@Activities@BuildInsights@Cpp@Microsoft@@@Z;void __cdecl BuildTimelineAnalyzer::OnActivityStartRoot(class Microsoft::Cpp::BuildInsights::Activities::Activity const & __ptr64) __ptr64;456099;456099;1
?_Min_load_factor_buckets@?$_Hash@V?$_Umap_traits@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@V?$_Uhash_compare@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@U?$hash@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@U?$equal_to@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@2@@2@V?$allocator@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@@2@$0A@@std@@@std@@IEBA_K_K@Z;unsigned __int64 __cdecl std::_Hash<class std::_Umap_traits<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >,class std::_Uhash_compare<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> >,struct std::hash<class std::basic_string<char,struct std::char_tr;911786;455893;2
??$?0U_Exact_args_t@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@1@$$V$0A@@?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@std@@QEAA@U_Exact_args_t@1@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@1@@Z;??$?0U_Exact_args_t@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@1@$$V$0A@@?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@std@@QEAA@U_Exact_args_t@1@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@1@@Z;911377;455688;2
??1?$vector@_KV?$allocator@_K@std@@@std@@QEAA@XZ;__cdecl std::vector<unsigned __int64,class std::allocator<unsigned __int64> >::~vector<unsigned __int64,class std::allocator<unsigned __int64> >(void) __ptr64;455688;455688;1
??$_Verify_range@I@std@@YAXQEBI0@Z;void __cdecl std::_Verify_range<unsigned int>(unsigned int const * __ptr64 const,unsigned int const * __ptr64 const);455278;455278;1
?max_size@?$_Hash_vec@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@@std@@@std@@@std@@@std@@@std@@QEBA_KXZ;unsigned __int64 __cdecl std::_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > const ,class std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > > > > > > > >::max_size(void)const __ptr64;909324;454662;2
??$?M_JU?$ratio@$00$0DLJKMKAA@@std@@_JU01@@chrono@std@@YA_NAEBV?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@01@0@Z;bool __cdecl std::chrono::operator<<__int64,struct std::ratio<1,1000000000>,__int64,struct std::ratio<1,1000000000> >(class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > const & __ptr64,class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > const & __ptr64);1816595;454148;4
??1?$_Hash_vec@V?$allocator@V?$_List_unchecked_const_iterator@V?$_List_val@U?$_List_simple_types@V?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@@std@@U_Iterator_base0@2@@std@@@std@@@std@@QEAA@XZ;__cdecl std::_Hash_vec<class std::allocator<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base0> > >::~_Hash_vec<class std::allocator<class std::_List_unchecked_const_iterator<class std::_List_val<struct std::_List_simple_types<class std::basic_string<char,struct std::char_traits<char>,class std::allocator<char> > > >,struct std::_Iterator_base0>;907681;453840;2
??1?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@QEAA@XZ;__cdecl std::vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >::~vector<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> >,class std::allocator<class std::chrono::duration<__int64,struct std::ratio<1,1000000000> > > >(void) __ptr64;906860;453430;2
??$?0V?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@V?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@1@$0A@$$Z$0A@@?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@QEAA@AEAV?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@1@AEAV?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@1@U?$integer_sequence@_K$0A@@1@2@Z;??$?0V?$tuple@AEBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@@std@@V?$tuple@$$QEAV?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@std@@@1@$0A@$$Z$0A@@?$pair@$$CBV?$basic_string@DU?$char_traits@D@std@@V?$allocator@D@2@@std@@V?$vector@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@V?$allocator@V?$duration@_JU?$ratio@$00$0DLJKMKAA@@std@@@chrono@std@@@3@@2@@std@@QEAA@AEAV?$tuple@AEBV?$basic_str;453225;453225;1
??$_Get_unwrapped@AEAV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@std@@@std@@@std@@YA@AEAV?$_Vector_iterator@V?$_Vector_val@U?$_Simple_types@PEAVTimelineEntry@@@std@@@std@@@0@@Z;__cdecl std::_Get_unwrapped<class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > > & __ptr64>(class std::_Vector_iterator<class std::_Vector_val<struct std::_Simple_types<class TimelineEntry * __ptr64> > > & __ptr64);906039;453019;2
??1?$_Hash_vec@V?$allocator@V?$_List_unchecked_iterator@V?$_List_val@U?$_List_simple_types@U?$pair@$$CB_KV?$vector@_KV?$allocator@_K@std@@@std@@@std@@@std@@@std@@@std@@@std@@@std@@QEAA@XZ;__cdecl std::_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > > >::~_Hash_vec<class std::allocator<class std::_List_unchecked_iterator<class std::_List_val<struct std::_List_simple_types<struct std::pair<unsigned __int64 const ,class std::vector<unsigned __int64,class std::allocator<unsigned __int64> > > > > > > >;452814;452814;1
